,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan,,,,,,,"Honda Motor Co., Ltd.",,,
Mobil Barang Bensin (Mobil Ringan/Keicar),,,,,,,,,,,,,,,,,,,Tahun Target (TA 2010)
,,,,,,,,,,,Mode 10-15,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,Mesin,,,,,,,,1km Berkendara,,Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,,,Kapasitas,Tipe Transmisi &,Berat Kendaraan,Kapasitas Muatan,Total Berat Kendaraan,Kendaraan,Efisiensi BBM,Dalam,Efisiensi BBM,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
Merek,,Nama Model,Tipe,Tipe,Mesin,Tipe &,(kg),(kg),(kg),Struktur,(km/L),Emisi CO2,Standar,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,(L),Jumlah Gigi,,,,,,(g-CO2/km),(km/L),Langkah,Langkah,Tipe,,Level,
Honda,,Acty,EBD-HA8,E07Z,0.656,5MT,760～780,350.0,1220～1240,Struktur B,17.8,130.4303370786517,16.7,FI・EP,3W,R,,,105
,,,EBD-HA8,E07Z,0.656,3AT,790.0,350.0,1250.0,Struktur B,16.4,141.56463414634146,15.5,FI・EP,3W,R,,,105
,,,EBD-HA9,E07Z,0.656,5MT,810～820,350.0,1270～1280,Struktur B,17.6,131.9125,16.7,FI・EP,3W,A,,,105
,,,EBD-HH5,E07Z,0.656,5MT,930～940,"350
350(250)",1390～1410,,17.0,136.5682352941176,15.5,FI・EP,3W,R,,,105
,,,EBD-HH5,E07Z,0.656,3AT,940～960,"350
350(250)",1400～1430,,15.8,146.9405063291139,14.9,FI・EP,3W,R,,,105
,,,EBD-HH6,E07Z,0.656,5MT,970～990,"350
350(250)",1430～1460,,16.4,141.56463414634146,15.5,FI・EP,3W,A,,,105
,,,EBD-HH6,E07Z,0.656,4AT,1030.0,250(150),1390～1400,,14.6,159.01780821917808,14.9,FI・EP,3W,A,,, 
,,VAMOS Hobio,EBD-HJ1,E07Z,0.656,5MT,960.0,200（100）,1270～1280,,17.0,136.5682352941176,15.5,FI・EP,3W,R,,,105
,,,EBD-HJ1,E07Z,0.656,3AT,970.0,200（100）,1280～1290,,15.8,146.9405063291139,14.9,FI・EP,3W,R,,,105
,,,EBD-HJ2,E07Z,0.656,5MT,1000～1010,200（100）,1310～1330,,16.4,141.56463414634146,15.5,FI・EP,3W,A,,,105
,,,EBD-HJ2,E07Z,0.656,4AT,1050.0,200（100）,1360～1370,,14.6,159.01780821917808,14.9,FI・EP,3W,A,,, 
