,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan,,,,,,,,,"Honda Motor Co., Ltd."
Mobil Penumpang Bensin (Mobil Ringan/Keicar),,,,,,,,,,,,,,,,,Tahun Target (TA 2015)
Merek,Nama Model,,,Mesin,,Tipe & Gigi Transmisi,Berat Kendaraan (kg),Kapasitas Penumpang,Mode JC08,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,,,,,,Efisiensi BBM (km/L),Emisi CO2/km (g-CO2/km),Standar Efisiensi BBM (km/L),Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,Tipe,Tipe,Kapasitas Mesin (L),,,,,,,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
,,,,,,,,,,,,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,,,,,,,,Langkah,Langkah,Tipe,,Level,
Honda,,N-WGN,DBA-JH1,S07A,0.658,CVT(E・LTC),820.0,4,29.2,79.50890410958904,21.0,V・C・I・EP,3W+EGR,F,,☆☆☆☆,139.0
,,,DBA-JH1,S07A,0.658,CVT(E・LTC),850.0,4,26.0,89.29461538461538,21.0,V・C・I・EP,3W,F,Dengan Supercharger/Turbo,☆☆☆☆,123.0
,,,DBA-JH2,S07A,0.658,CVT(E・LTC),870.0,4,26.0,89.29461538461538,20.8,V・C・I・EP,3W+EGR,A,,☆☆☆☆,125.0
,,,DBA-JH2,S07A,0.658,CVT(E・LTC),900.0,4,24.2,95.93636363636364,20.8,V・C・I・EP,3W,A,Dengan Supercharger/Turbo,☆☆☆☆,116.0
,,N-WGN　ＣＵＳＴＯＭ,DBA-JH1,S07A,0.658,CVT(E・LTC),830.0,4,29.2,79.50890410958904,21.0,V・C・I・EP,3W+EGR,F,,☆☆☆☆,139.0
,,,DBA-JH1,S07A,0.658,CVT(E・LTC),850.0,4,26.0,89.29461538461538,21.0,V・C・I・EP,3W,F,Dengan Supercharger/Turbo,☆☆☆☆,123.0
,,,DBA-JH1,S07A,0.658,CVT(E・LTC),870.0,4,24.0,96.73583333333332,20.8,V・C・I・EP,3W,F,"Dengan Supercharger/Turbo
タイヤ165/55R15",☆☆☆☆,115.0
,,,DBA-JH2,S07A,0.658,CVT(E・LTC),880.0,4,26.0,89.29461538461538,20.8,V・C・I・EP,3W+EGR,A,,☆☆☆☆,125.0
,,,DBA-JH2,S07A,0.658,CVT(E・LTC),910.0,4,24.2,95.93636363636364,20.8,V・C・I・EP,3W,A,Dengan Supercharger/Turbo,☆☆☆☆,116.0
,,,DBA-JH2,S07A,0.658,CVT(E・LTC),920.0,4,23.0,100.94173913043477,20.8,V・C・I・EP,3W,A,"Dengan Supercharger/Turbo
タイヤ165/55R15",☆☆☆☆,110.0
,,N-ONE,DBA-JG1,S07A,0.658,CVT(E・LTC),840～850,4,27.0,85.9874074074074,21.0,V・I・EP・C,3W,F,,☆☆☆☆,128.0
,,,DBA-JG1,S07A,0.658,CVT(E・LTC),850.0,4,23.2,100.07155172413793,21.0,V・EP・C,3W,F,,☆☆☆☆,110.0
,,,DBA-JG1,S07A,0.658,CVT(E・LTC),860.0,4,22.4,103.64553571428571,20.8,V・EP・C,3W,F,,☆☆☆☆,107.0
,,,DBA-JG1,S07A,0.658,CVT(E・LTC),870.0,4,21.4,108.48878504672898,20.8,V・EP・C,3W,F,タイヤ165/55R15,☆☆☆☆,102.0
,,,DBA-JG2,S07A,0.658,CVT(E・LTC),890～900,4,25.0,92.8664,20.8,V・I・EP・C,3W,A,,☆☆☆☆,120.0
,,,DBA-JG2,S07A,0.658,CVT(E・LTC),900～910,4,21.8,106.49816513761466,20.8,V・EP・C,3W,A,,☆☆☆☆,104.0
,,,DBA-JG2,S07A,0.658,CVT(E・LTC),920.0,4,20.8,111.61826923076922,20.8,V・EP・C,3W,A,タイヤ165/55R15,☆☆☆☆,100.0
,,N-BOX,DBA-JF1,S07A,0.658,CVT(E・LTC),950.0,4,25.2,92.12936507936507,20.8,V・I・EP・C,3W+EGR,F,,☆☆☆☆,121.0
,,,DBA-JF1,S07A,0.658,CVT(E・LTC),970.0,4,23.4,99.21623931623931,20.8,V・I・EP・C,3W,F,Dengan Supercharger/Turbo,☆☆☆☆,112.0
,,,DBA-JF2,S07A,0.658,CVT(E・LTC),990.0,4,23.2,100.07155172413793,20.5,V・I・EP・C,3W+EGR,A,,☆☆☆☆,113.0
,,,DBA-JF2,S07A,0.658,CVT(E・LTC),1010.0,4,21.2,109.5122641509434,20.5,V・I・EP・C,3W,A,Dengan Supercharger/Turbo,☆☆☆☆,103.0
,,N-BOX,DBA-JF1,S07A,0.658,CVT(E・LTC),930～940,4.0,22.2,104.57927927927929,20.8,V・I・EP・C,3W,F,,☆☆☆☆,106.0
,,,DBA-JF1,S07A,0.658,CVT(E・LTC),950.0,4,24.2,95.93636363636364,20.8,V・I・EP・C,3W,F,,☆☆☆☆,116.0
,,,DBA-JF1,S07A,0.658,CVT(E・LTC),970.0,4,20.8,111.61826923076922,20.8,V・EP・C,3W,F,,☆☆☆☆,100.0
