,,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan　　　　Mazda Motor Corporation,,,,,,,,,,,,,,,
Mobil Barang Bensin (Mobil Ringan/Keicar),,,,,,,,,,,,,,,,,,,Tahun Target (TA 2010),,,,,
,,,,,,,,,,,Mode 10-15,,,,,,,,Tingkat Pencapaian Standar BBM,,,,,
,,,,Mesin,,,,,,,,1km Berkendara,,Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),,,,,,
,,,,,Kapasitas,Tipe Transmisi &,Berat Kendaraan,Kapasitas Muatan,Total Berat Kendaraan,Kendaraan,Efisiensi BBM,Dalam,Efisiensi BBM,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,,,,,,
Merek,,Nama Model,Tipe,Tipe,Mesin,Tipe &,(kg),(kg),(kg),Struktur,(km/L),Emisi CO2,Standar,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,,,,,Perhitungan Sementara,
,,,,,(L),Jumlah Gigi,,,,,,(g-CO2/km),(km/L),Langkah,Langkah,Tipe,,Level,,,,,Sampai 125,138150.0
Mazda,※1,Scrum,EBD-DG64V,K6A,0.658,5MT,880～930,250～350,1340～1400,,16.8,138.19404761904758,15.5,"FI,EP",3W,R,,,105,,,,105,
,,,EBD-DG64V,K6A,0.658,3AT(E),880～930,250～350,1340～1400,,15.8,146.9405063291139,14.9,"FI,EP",3W,R,,,105,,,,105,
,,,EBD-DG64V,K6A,0.658,5MT,920～970,250～350,1380～1440,,16.2,143.31234567901234,15.5,"FI,EP",3W,A,,,100,,,,100,
,,,EBD-DG64V,K6A,0.658,3AT(E),920～970,250～350,1380～1440,,15.4,150.75714285714284,14.9,"FI,EP",3W,A,,,100,,,,100,
,,,EBD-DG64V,K6A,0.658,5MT,910～950,250～350,1370～1420,,17.2,134.98023255813953,15.5,"FI,EP",3W,R,Dengan Turbocharger,,110,,,,110,
,,,EBD-DG64V,K6A,0.658,4AT(E),920～960,250～350,1380～1430,,15.2,152.74078947368417,14.9,"FI,EP",3W,R,Dengan Turbocharger,,100,,,,100,
,,,EBD-DG64V,K6A,0.658,5MT,950～990,250～350,1410～1460,,17.2,134.98023255813953,15.5,"FI,EP",3W,A,Dengan Turbocharger,,110,,,,110,
,,,EBD-DG64V,K6A,0.658,4AT(E),960～1000,250～350,1420～1470,,15.2,152.74078947368417,14.9,"FI,EP",3W,A,Dengan Turbocharger,,100,,,,100,
,,,,,,,,,,,,,,,,,,,,,,,,
,(Catatan),Mode JC08Efisiensi BBMを有する車両については、Mode 10-15Efisiensi BBMに下線を引いています。,,,,,,,,,,,,,,,,,,,,,,
,,※1印の付いているNama Modelについては、Suzuki Motor Corporationが製造事業者である。,,,,,,,,,,,,,,,,,,,,,,
