,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan　　Mitsubishi Motors Corporation,,,,,,,,,
Mobil Penumpang Bensin (Standar/Kompak),,,,,,,,,,,,,,,,,Tahun Target (TA 2015)
Merek,Nama Model,,,Mesin,,Tipe & Gigi Transmisi,Berat Kendaraan (kg),Kapasitas Penumpang,Mode JC08,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,,,,,,Efisiensi BBM (km/L),Emisi CO2/km (g-CO2/km),Standar Efisiensi BBM (km/L),Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,Tipe,Tipe,Kapasitas Mesin (L),,,,,,,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
,,,,,,,,,,,,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,,,,,,,,Langkah,Langkah,Tipe,,Level,
Mitsubishi,,Galant,DBA-CY6A,4J10,1.798,CVT(LTC),1320～1380,5.0,15.8,146.9405063291139,15.8,"V,C,I,B,EP",3W+EGR,F,,☆☆☆☆,100.0
,,,DBA-CY6A,4J10,1.798,CVT(LTC),1390～1420,5.0,15.4,150.75714285714284,15.8,"V,C,I,B,EP",3W+EGR,A,,☆☆☆☆,
,,,DBA-CY6A,4J10,1.798,CVT(LTC),1430～1450,5.0,15.0,154.77733333333333,14.4,"V,C,I,B,EP",3W+EGR,A,,☆☆☆☆,104.0
,,,DBA-CX6A,4J10,1.798,CVT(LTC),1360～1420,5.0,15.8,146.9405063291139,15.8,"V,C,I,B,EP",3W+EGR,F,,☆☆☆☆,100.0
,,,DBA-CX6A,4J10,1.798,CVT(LTC),1430～1490,5.0,15.0,154.77733333333333,14.4,"V,C,I,B,EP",3W+EGR,A,,☆☆☆☆,104.0
,,,DBA-CY3A,4B10,1.798,CVT(LTC),1330～1390,5.0,14.0,165.83285714285714,15.8,"V,C,EP,B",3W+EGR,F,,☆☆☆☆,
,,,DBA-CY3A,4B10,1.798,CVT(LTC),1400～1420,5.0,13.6,170.71029411764707,15.8,"V,C,B",3W+EGR,A,,☆☆☆☆,
,,,DBA-CY3A,4B10,1.798,CVT(LTC),1430～1460,5.0,13.4,173.25820895522384,14.4,"V,C,B",3W+EGR,A,,☆☆☆☆,
,,,DBA-CX3A,4B10,1.798,CVT(LTC),1370～1420,5.0,13.8,168.23623188405796,15.8,"V,C,EP,B",3W+EGR,F,,☆☆☆☆,
,,,DBA-CX3A,4B10,1.798,CVT(LTC),1430.0,5.0,13.2,175.88333333333335,14.4,"V,C,EP,B",3W+EGR,F,,☆☆☆☆,
,,,DBA-CX3A,4B10,1.798,CVT(LTC),1440～1500,5.0,13.2,175.88333333333335,14.4,"V,C,B",3W+EGR,A,,☆☆☆☆,
,,,CBA-CY4A,4B11,1.998,6AT,1530.0,5.0,10.6,219.0245283018868,14.4,"V,AM",3W,A,,☆☆☆,
,,,CBA-CY4A,4B11,1.998,6AT,1540～1560,5.0,10.4,223.23653846153843,13.2,"V,AM",3W,A,,☆☆☆,
,,,CBA-CX4A,4B11,1.998,6AT,1580～1610,5.0,10.4,223.23653846153843,13.2,"V,AM",3W,A,,☆☆☆,
,,RVR,DBA-GA4W,4J10,1.798,CVT(LTC),1350～1420,5.0,15.8,146.9405063291139,15.8,"V,C,I,B,EP",3W+EGR,F,,☆☆☆☆,100.0
,,,DBA-GA4W,4J10,1.798,CVT(LTC),1420.0,5.0,15.4,150.75714285714284,15.8,"V,C,I,B,EP",3W+EGR,A,,☆☆☆☆,
,,,DBA-GA4W,4J10,1.798,CVT(LTC),1430～1490,5.0,15.0,154.77733333333333,14.4,"V,C,I,B,EP",3W+EGR,A,,☆☆☆☆,104.0
,,,DBA-GA3W,4B10,1.798,CVT(LTC),1350～1420,5.0,13.8,168.23623188405796,15.8,"V,C",3W+EGR,F,,☆☆☆☆,
,,,DBA-GA3W,4B10,1.798,CVT(LTC),1420.0,5.0,13.6,170.71029411764707,15.8,"V,C",3W+EGR,A,,☆☆☆☆,
,,,DBA-GA3W,4B10,1.798,CVT(LTC),1430～1490,5.0,13.4,173.25820895522384,14.4,"V,C",3W+EGR,A,,☆☆☆☆,
,,Delica,DBA-CV2W,4J11,1.998,CVT(LTC),1680～1720,7 or 8,13.6,170.71029411764707,12.2,"V,C,I,FI,B",3W,F,,☆☆☆☆,111.0
,,,DBA-CV5W,4B12,2.359,CVT(LTC),1770～1820,7 or 8,11.2,207.29107142857143,11.1,"V,C,FI,B",3W+EGR,A,,☆☆☆☆,100.0
,,Lancer Evo,CBA-CZ4A,4B11,1.998,5MT,1420.0,5.0,10.6,219.0245283018868,15.8,V,3W,A,,☆☆☆,
,,lution,CBA-CZ4A,4B11,1.998,5MT,1430～1530,5.0,10.4,223.23653846153843,14.4,V,3W,A,,☆☆☆,
,,,CBA-CZ4A,4B11,1.998,5MT,1540～1600,5.0,10.2,227.6137254901961,13.2,V,3W,A,,☆☆☆,
,,,CBA-CZ4A,4B11,1.998,6AT,1540～1620,5.0,10.2,227.6137254901961,13.2,V,3W,A,,☆☆☆,
,,Pajero,DBA-V83W,6G72,2.972,5MT,1930～1990,5.0,8.7,266.85747126436786,10.2,,3W+EGR,A,,☆☆☆☆,
,,,DBA-V83W,6G72,2.972,5AT(LTC),1940～1990,5.0,8.7,266.85747126436786,10.2,,3W+EGR,A,,☆☆☆☆,
,,,DBA-V83W,6G72,2.972,5AT(LTC),2000.0,5.0,8.5,273.1364705882352,9.4,,3W+EGR,A,,☆☆☆☆,
,,,DBA-V93W,6G72,2.972,5MT,2060～2100,7.0,8.6,269.96046511627907,9.4,,3W+EGR,A,,☆☆☆☆,
,,,DBA-V93W,6G72,2.972,5MT,2110～2200,7.0,8.5,273.1364705882352,8.7,,3W+EGR,A,,☆☆☆☆,
,,,DBA-V93W,6G72,2.972,5AT(LTC),2070～2100,7.0,8.5,273.1364705882352,9.4,,3W+EGR,A,,☆☆☆☆,
