,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan　　　　Isuzu Motors Limited,,,,,,,,,
Minibus Diesel,,,,,,,,,,,,,,,,,Tahun Target (TA 2015)
Merek,Nama Model,,,Mesin,,Tipe & Gigi Transmisi,Berat Kendaraan (kg),Kapasitas Penumpang,Mode JC08,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,,,,,,Efisiensi BBM (km/L),Emisi CO2/km (g-CO2/km),Standar Efisiensi BBM (km/L),Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,Tipe,Tipe,Kapasitas Mesin (L),,,,,,,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
,,,,,,,,,,,,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,,,,,,,,Langkah,Langkah,Tipe,,Level,
Isuzu,※,Como,LDF-JDW4E26,YD25,2.488,5AT(E･LTC),2250.0,14.0,11.2,230.9125,9.7,,"3W,EGR,DF",R,,,115.0
,,,LDF-JDW4E26,YD25,2.488,5AT(E･LTC),2280.0,14.0,10.8,239.46481481481482,9.7,,"3W,EGR,DF",R,,,111.0
,,,,,,,,,,,,,,,,,
,"※印の付いているNama Modelについては、Nissan Motor Co., Ltd.が製造事業者である。",,,,,,,,,,,,,,,,
