,,,,,,,,"Nama Perusahaan Produsen atau Importir Kendaraan　　　　Nissan Motor Co., Ltd.",,,,,,,,,
Mobil Penumpang Bensin (Mobil Ringan/Keicar),,,,,,,,,,,,,,,,,Tahun Target (TA 2015)
Merek,Nama Model,,,Mesin,,Tipe & Gigi Transmisi,Berat Kendaraan (kg),Kapasitas Penumpang,Mode JC08,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,,,,,,Efisiensi BBM (km/L),Emisi CO2/km (g-CO2/km),Standar Efisiensi BBM (km/L),Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,Tipe,Tipe,Kapasitas Mesin (L),,,,,,,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
,,,,,,,,,,,,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,,,,,,,,Langkah,Langkah,Tipe,,Level,
Nissan,※2,Moco,DBA-MG33S,R06A,0.658,CVT(E･LTC),800～820,4.0,30.0,77.0,21.0,"I,V,EP,B,C",3W,F,,☆☆☆☆,142.0
,,,DBA-MG33S,R06A,0.658,CVT(E･LTC),850,4.0,28.4,82.0,21.0,"I,V,EP,B,C",3W,A,,☆☆☆☆,135.0
,,,DBA-MG33S,R06A,0.658,CVT(E･LTC),860～870,4.0,27.2,85.0,20.8,"I,V,EP,B,C",3W,A,,☆☆☆☆,130.0
,,,DBA-MG33S,R06A,0.658,CVT(E･LTC),840.0,4.0,27.0,86.0,21.0,"I,V,EP,B,C",3W,F,Dengan Turbocharger,☆☆☆☆,128.0
,,,DBA-MG33S,R06A,0.658,CVT(E･LTC),890.0,4.0,25.2,92.0,20.8,"I,V,EP,B,C",3W,A,Dengan Turbocharger,☆☆☆☆,121.0
,※1,DAYZ,DBA-B21W,3B20,0.659,CVT(E･LTC),830～840,4.0,26.8,86.62910447761192,21.0,"V,C,I,B,EP","EGR,3W",F,,☆☆☆☆,127.0
,,,DBA-B21W,3B20,0.659,CVT(E･LTC),880～890,4.0,22.6,102.72831858407078,20.8,"V,C,I,B,EP",3W,A,,☆☆☆☆,108.0
,,,DBA-B21W,3B20,0.659,CVT(E･LTC),820.0,4.0,23.2,100.07155172413793,21.0,"V,C,B,EP",3W,F,,☆☆☆☆,110.0
,,,DBA-B21W,3B20,0.659,CVT(E･LTC),860.0,4.0,21.4,108.48878504672898,20.8,"V,C,B,EP",3W,F,Dengan Turbocharger,☆☆☆☆,102.0
,,,DBA-B21W,3B20,0.659,CVT(E･LTC),900.0,4.0,21.0,110.55523809523808,20.8,"V,C,B,EP",3W,A,Dengan Turbocharger,☆☆☆☆,100.0
,※2,NV100 Clipper Rio,ABA-DR64W,K6A,0.658,3AT(E),930～970,4.0,15.0,155.0,20.8,EP,3W,R,,,
,,,ABA-DR64W,K6A,0.658,3AT(E),970.0,4.0,14.6,159.0,20.8,EP,3W,A,,,
,,,ABA-DR64W,K6A,0.658,3AT(E),980～1010,4.0,14.0,166.0,20.5,EP,3W,A,,,
,,,ABA-DR64W,K6A,0.658,4AT(E),960～970,4.0,14.4,161.0,20.8,EP,3W,R,Dengan Turbocharger,,
,,,ABA-DR64W,K6A,0.658,4AT(E),980～1000,4.0,13.8,168.0,20.5,EP,3W,R,Dengan Turbocharger,,
,,,ABA-DR64W,K6A,0.658,4AT(E),1000～1040,4.0,13.8,168.0,20.5,EP,3W,A,Dengan Turbocharger,,
,,,,,,,,,,,,,,,,,
,※1印の付いているNama Modelについては、Mitsubishi Motors Corporationが製造事業者である。,,,,,,,,,,,,,,,,
,※2印の付いているNama Modelについては、Suzuki Motor Corporationが製造事業者である。,,,,,,,,,,,,,,,,
