,,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan　　Mitsubishi Motors Corporation,,,,,,,,,,
Mobil Barang Bensin (Mobil Ringan/Keicar),,,,,,,,,,,,,,,,,,,Tahun Target (TA 2015)
,,,,,,,,,,,Mode JC08,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,Mesin,,,,,,,,1km Berkendara,,Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,,,Kapasitas,Tipe Transmisi &,Berat Kendaraan,Kapasitas Muatan,Total Berat Kendaraan,Kendaraan,Efisiensi BBM,Dalam,Efisiensi BBM,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
Merek,,Nama Model,Tipe,Tipe,Mesin,Tipe &,(kg),(kg),(kg),Struktur,(km/L),Emisi CO2,Standar,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,(L),Jumlah Gigi,,,,,,(g-CO2/km),(km/L),Langkah,Langkah,Tipe,,Level,
Mitsubishi,,Minicab,GBD-U61T,3G83,0.657,5MT,700～740,350.0,1160～1200,Struktur B,16.8,138.19404761904758,18.2,,3W,R,,☆☆☆,
,,,GBD-U61T,3G83,0.657,3AT,710～740,350.0,1170～1200,Struktur B,16.0,145.10375,16.4,,3W,R,,☆☆☆,
,,,GBD-U61T,3G83,0.657,3AT,750.0,350.0,1210.0,Struktur B,15.4,150.75714285714284,16.0,,3W,R,,☆☆☆,
,,,GBD-U61V,3G83,0.657,5MT,840～850,250～350,1300～1310,Struktur B,16.4,141.56463414634146,18.0,,3W,R,,☆☆☆,
,,,GBD-U61V,3G83,0.657,5MT,860～930,250～350,1320～1400,Struktur B,16.0,145.10375,17.2,,3W,R,,☆☆☆,
,,,GBD-U61V,3G83,0.657,3AT,860～950,250～350,1320～1420,Struktur B,15.2,152.74078947368417,15.4,,3W,R,,☆☆☆,
,,,GBD-U62T,3G83,0.657,5MT,750～800,350.0,1210～1260,Struktur B,15.8,146.9405063291139,18.0,,3W,A,,☆☆☆,
,,,GBD-U62T,3G83,0.657,3AT,770～810,350.0,1230～1270,Struktur B,15.0,154.77733333333333,16.0,,3W,A,,☆☆☆,
,,,GBD-U62V,3G83,0.657,5MT,900～970,250～350,1360～1430,Struktur B,15.4,150.75714285714284,17.2,,3W,A,,☆☆☆,
,,,GBD-U62V,3G83,0.657,5MT,980.0,250～350,1440～1450,Struktur B,15.2,152.74078947368417,16.4,,3W,A,,☆☆☆,
,,,GBD-U62V,3G83,0.657,3AT,920～970,250～350,1380～1440,Struktur B,14.4,161.2263888888889,15.4,,3W,A,,☆☆☆,
,,,GBD-U62V,3G83,0.657,3AT,980～1000,250～350,1440～1470,Struktur B,14.0,165.83285714285714,14.7,,3W,A,,☆☆☆,
,,,EBD-U61V,3G83,0.657,4AT,980.0,250～350,1440～1450,Struktur B,12.8,181.3796875,14.7,FI,3W,R,,,
,,,EBD-U62V,3G83,0.657,4AT,1030.0,250～350,1490～1500,Struktur B,12.8,181.3796875,14.7,FI,3W,A,,,
