,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan　　Mitsubishi Motors Corporation,,,,,,,,,
Mobil Penumpang Bensin (Mobil Ringan/Keicar),,,,,,,,,,,,,,,,,Tahun Target (TA 2015)
Merek,Nama Model,,,Mesin,,Tipe & Gigi Transmisi,Berat Kendaraan (kg),Kapasitas Penumpang,Mode JC08,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,,,,,,Efisiensi BBM (km/L),Emisi CO2/km (g-CO2/km),Standar Efisiensi BBM (km/L),Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,Tipe,Tipe,Kapasitas Mesin (L),,,,,,,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
,,,,,,,,,,,,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,,,,,,,,Langkah,Langkah,Tipe,,Level,
Mitsubishi,,eK,DBA-B11W,3B20,0.659,CVT(E･LTC),830.0,4.0,26.8,86.62910447761192,21.0,"V,C,I,B,EP","EGR
3W",F,,☆☆☆☆,127.0
,,,DBA-B11W,3B20,0.659,CVT(E･LTC),880.0,4.0,23.6,98.37542372881356,20.8,"V,C,I,B,EP",3W,A,,☆☆☆☆,113.0
,,,DBA-B11W,3B20,0.659,CVT(E･LTC),820.0,4.0,23.2,100.07155172413793,21.0,"V,C,B,EP",3W,F,,☆☆☆☆,110.0
,,,DBA-B11W,3B20,0.659,CVT(E･LTC),860.0,4.0,21.4,108.48878504672898,20.8,"V,C,B,EP",3W,F,,☆☆☆☆,102.0
,,,DBA-B11W,3B20,0.659,CVT(E･LTC),900.0,4.0,21.0,110.55523809523808,20.8,"V,C,B,EP",3W,A,,☆☆☆☆,100.0
