,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan,,,,,,,,,"Honda Motor Co., Ltd."
Mobil Penumpang Bensin (Standar/Kompak),,,,,,,,,,,,,,,,,Tahun Target (TA 2015)
Merek,Nama Model,,,Mesin,,Tipe & Gigi Transmisi,Berat Kendaraan (kg),Kapasitas Penumpang,Mode JC08,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,,,,,,Efisiensi BBM (km/L),Emisi CO2/km (g-CO2/km),Standar Efisiensi BBM (km/L),Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,Tipe,Tipe,Kapasitas Mesin (L),,,,,,,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
,,,,,,,,,,,,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,,,,,,,,Langkah,Langkah,Tipe,,Level,
Honda,,Accord ハイブリッド,DAA-CR6,"LFA(Mesin Bakar)
-MF8(Motor Elektrik)",1.993,－,1620～1640,5.0,30.0,77.38866666666667,13.2,V・H・I・MC・EP,3W+EGR,F,,☆☆☆☆,227.0
,,Fit,DAA-GP5,"LEB(Mesin Bakar)
-H1(Motor Elektrik)",1.496,"7AT
（E）",1080.0,5,36.4,63.78186813186813,20.5,V・H・I・MC・EP,3W+EGR,F,,☆☆☆☆,177.0
,,,DAA-GP5,"LEB(Mesin Bakar)
-H1(Motor Elektrik)",1.496,"7AT
（E）",1130～1150,5,33.6,69.09702380952379,18.7,V・H・I・MC・EP,3W+EGR,F,タイヤ 185/60R15,☆☆☆☆,179.0
,,,DAA-GP5,"LEB(Mesin Bakar)
-H1(Motor Elektrik)",1.496,"7AT
（E）",1140～1160,5,31.4,73.93821656050955,18.7,V・H・I・MC・EP,3W+EGR,F,タイヤ 185/55R16,☆☆☆☆,167.0
,,,DAA-GP6,"LEB(Mesin Bakar)
-H1(Motor Elektrik)",1.496,"7AT
（E）",1170.0,5,29.0,80.05724137931034,18.7,V・H・I・MC・EP,3W+EGR,A,,☆☆☆☆,155.0
,,,DAA-GP6,"LEB(Mesin Bakar)
-H1(Motor Elektrik)",1.496,"7AT
（E）",1200～1220,5,28.2,82.32836879432624,17.2,V・H・I・MC・EP,3W+EGR,A,,☆☆☆☆,163.0
,,,DAA-GP6,"LEB(Mesin Bakar)
-H1(Motor Elektrik)",1.496,"7AT
（E）",1210～1220,5,27.6,84.11811594202898,17.2,V・H・I・MC・EP,3W+EGR,A,,☆☆☆☆,160.0
,,,DBA-GK3,L13B,1.317,"CVT
（E・LTC）",970.0,5,26.0,89.29461538461538,20.8,V・C・I・MC・EP,3W+EGR,F,,☆☆☆☆,125.0
,,,DBA-GK3,L13B,1.317,"CVT
（E・LTC）",1020～1030,5,24.4,95.15,20.5,V・C・I・MC・EP,3W+EGR,F,タイヤ 175/70R14,☆☆☆☆,119.0
,,,DBA-GK3,L13B,1.317,"CVT
（E・LTC）",1030～1040,5,24.0,96.73583333333332,20.5,V・C・I・MC・EP,3W+EGR,F,タイヤ 185/60R15,☆☆☆☆,117.0
,,,DBA-GK3,L13B,1.317,5MT,1000～1020,5,21.6,107.48425925925925,20.5,V・I・MC・EP,3W+EGR,F,,☆☆☆☆,105.0
,,,DBA-GK4,L13B,1.317,"CVT
（E・LTC）",1070.0,5,20.6,112.70194174757282,20.5,V・C・I・MC・EP,3W+EGR,A,,☆☆☆☆,100.0
,,,DBA-GK4,L13B,1.317,"CVT
（E・LTC）",1100～1120,5,19.8,117.25555555555556,18.7,V・C・I・MC・EP,3W+EGR,A,,☆☆☆☆,105.0
,,,DBA-GK5,L15B,1.496,"CVT
（E・LTC）",1050～1070,5,21.8,106.49816513761466,20.5,D・V・C・I・EP,3W+EGR,F,タイヤ 185/60R15,☆☆☆☆,106.0
,,,DBA-GK5,L15B,1.496,"CVT
（E・LTC）",1070～1080,5,21.4,108.48878504672898,20.5,D・V・C・I・EP,3W+EGR,F,タイヤ 185/55R16,☆☆☆☆,104.0
,,,DBA-GK5,L15B,1.496,6MT,1050～1060,5,19.0,122.19263157894736,20.5,D・V・I・EP,3W+EGR,F,,☆☆☆☆,
,,,DBA-GK6,L15B,1.496,"CVT
（E・LTC）",1120～1130,5,19.0,122.19263157894736,18.7,D・V・C・I・EP,3W+EGR,A,,☆☆☆☆,101.0
,,Insight,DAA-ZE2,"LDA(Mesin Bakar)
-MF6(Motor Elektrik)",1.339,"CVT
（E）",1190.0,5.0,27.2,85.35514705882353,18.7,CY・V･I・EP・C・H,3W+EGR,F,タイヤ 185/60R15,☆☆☆☆,145.0
,,,DAA-ZE2,"LDA(Mesin Bakar)
-MF6(Motor Elektrik)",1.339,"CVT
（E）",1190.0,5.0,26.0,89.29461538461538,18.7,CY・V･I・EP・C・H,3W+EGR,F,,☆☆☆☆,139.0
,,,DAA-ZE2,"LDA(Mesin Bakar)
-MF6(Motor Elektrik)",1.339,"CVT
（E）",1200.0,5.0,24.0,96.73583333333332,17.2,CY・V･I・EP・C・H,3W+EGR,F,タイヤ 185/55R16,☆☆☆☆,139.0
,,VEZEL,DAA-RU3,"LEB(Mesin Bakar)
-H1(Motor Elektrik)",1.496,"7AT
（E）",1270.0,5,27.0,85.9874074074074,17.2,D・V・H・I・MC・EP,3W+EGR,F,,☆☆☆☆,156.0
,,,DAA-RU3,"LEB(Mesin Bakar)
-H1(Motor Elektrik)",1.496,"7AT
（E）",1280.0,5,26.0,89.29461538461538,17.2,D・V・H・I・MC・EP,3W+EGR,F,,☆☆☆☆,151.0
